step,option_value,option_label_es,photo_id,photographer,source_page,direct_image_url,rights_note
size,small,"Pequeña (2-3 personas)",7598363,Max Vakhtbovych,https://www.pexels.com/photo/view-of-a-brown-room-7598363/,"Pexels license; free to use"
size,medium,"Mediana (4-6 personas)",32504779,HUUM sauna heaters,https://www.pexels.com/photo/modern-wooden-sauna-interior-with-heater-32504779/,"Pexels license; visible HUUM brand heater, review before use"
size,large,"Grande (7+ personas)",23330922,Batuhan Kocabaş,https://www.pexels.com/photo/high-angle-view-of-a-sauna-23330922/,"Pexels license; free to use"
wood_species,cedro,"Cedro rojo",19447148,Karlee Heck,https://www.pexels.com/photo/wooden-nailed-red-siding-19447148/,"Pexels license; free to use (siding, not sauna-specific — swatch use only)"
wood_species,pino,"Pino",29618523,Qing Luo,https://www.pexels.com/photo/close-up-of-wooden-floor-with-shadow-pattern-29618523/,"Pexels license; free to use (flooring, not sauna-specific — swatch use only)"
wood_species,abeto,"Abeto (spruce)",36091247,wal_172619,https://www.pexels.com/photo/white-rustic-wooden-plank-background-36091247/,"Pexels license; free to use (swatch use only)"
wood_species,termo_tratado,"Madera termo-tratada",10899603,Engin Akyurt,https://www.pexels.com/photo/brown-wooden-planks-in-close-up-photography-10899603/,"Pexels license; free to use (swatch use only)"
heater_type,electric,"Eléctrica",36818217,HUUM sauna heaters,https://www.pexels.com/photo/modern-sauna-heater-with-stones-in-wooden-cabin-36818217/,"Pexels license; visible HUUM brand heater, review before use"
heater_type,wood,"De leña",31092909,HUUM sauna heaters,https://www.pexels.com/photo/modern-sauna-with-wood-fired-heater-and-stones-31092909/,"Pexels license; visible HUUM brand heater, review before use"
cabin_shape,rectangular,"Cuadrada / rectangular",37381280,Margo Evardson,https://www.pexels.com/photo/rustic-wooden-cabin-in-tartu-county-estonia-37381280/,"Pexels license; free to use"
cabin_shape,barrel,"Barril",15857059,Curtis Adams,https://www.pexels.com/photo/wooden-sauna-on-terrace-15857059/,"Pexels license; free to use"
cabin_shape,a_frame,"A-frame (techo triangular)",34923434,Helena Jankovičová Kováčová,https://www.pexels.com/photo/a-frame-wooden-cabins-in-snowy-forest-setting-34923434/,"Pexels license; snowy/European setting, consider a non-snow replacement for MX audience"
window,with_window,"Con ventana",7598370,Max Vakhtbovych,https://www.pexels.com/photo/a-sauna-bath-with-a-wooden-interior-7598370/,"Pexels license; free to use"
window,without_window,"Sin ventana",37816610,HUUM sauna heaters,https://www.pexels.com/photo/elegant-modern-indoor-sauna-with-wooden-benches-37816610/,"Pexels license; visible HUUM brand heater, review before use; reused for setting=indoor below"
setting,indoor,"Interior",37816610,HUUM sauna heaters,https://www.pexels.com/photo/elegant-modern-indoor-sauna-with-wooden-benches-37816610/,"Pexels license; duplicate of window=without_window — replace with a distinct photo before ship"
setting,outdoor,"Exterior",29306914,Teju,https://www.pexels.com/photo/cozy-cabin-in-the-woods-with-outdoor-sauna-29306914/,"Pexels license; free to use"
